PassengerId,Embarked,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
1,S,3,male,22,1,0,7.25,0
2,C,1,female,38,1,0,71.2833,1
3,S,3,female,26,0,0,7.925,1
4,S,1,female,35,1,0,53.1,1
5,S,3,male,35,0,0,8.05,0
6,Q,3,male,,0,0,8.4583,0
7,S,1,male,54,0,0,51.8625,0
8,S,3,male,2,3,1,21.075,0
9,S,3,female,27,0,2,11.1333,1
10,C,2,female,14,1,0,30.0708,1
11,S,3,female,4,1,1,16.7,1
12,S,1,female,58,0,0,26.55,1
13,S,3,male,20,0,0,8.05,0
14,S,3,male,39,1,5,31.275,0
15,S,3,female,14,0,0,7.8542,0
16,S,2,female,55,0,0,16,1
17,Q,3,male,2,4,1,29.125,0
18,S,2,male,,0,0,13,1
19,S,3,female,31,1,0,18,0
20,C,3,female,,0,0,7.225,1
21,S,2,male,35,0,0,26,0
22,S,2,male,34,0,0,13,1
23,Q,3,female,15,0,0,8.0292,1
24,S,1,male,28,0,0,35.5,1
25,S,3,female,8,3,1,21.075,0
26,S,3,female,38,1,5,31.3875,1
27,C,3,male,,0,0,7.225,0
28,S,1,male,19,3,2,263,0
29,Q,3,female,,0,0,7.8792,1
30,S,3,male,,0,0,7.8958,0
31,C,1,male,40,0,0,27.7208,0
32,C,1,female,,1,0,146.5208,1
33,Q,3,female,,0,0,7.75,1
34,S,2,male,66,0,0,10.5,0
35,C,1,male,28,1,0,82.1708,0
36,S,1,male,42,1,0,52,0
37,C,3,male,,0,0,7.2292,1
38,S,3,male,21,0,0,8.05,0
39,S,3,female,18,2,0,18,0
40,C,3,female,14,1,0,11.2417,1
41,S,3,female,40,1,0,9.475,0
42,S,2,female,27,1,0,21,0
43,C,3,male,,0,0,7.8958,0
44,C,2,female,3,1,2,41.5792,1
45,Q,3,female,19,0,0,7.8792,1
46,S,3,male,,0,0,8.05,0
47,Q,3,male,,1,0,15.5,0
48,Q,3,female,,0,0,7.75,1
49,C,3,male,,2,0,21.6792,0
50,S,3,female,18,1,0,17.8,0
51,S,3,male,7,4,1,39.6875,0
52,S,3,male,21,0,0,7.8,0
53,C,1,female,49,1,0,76.7292,1
54,S,2,female,29,1,0,26,1
55,C,1,male,65,0,1,61.9792,0
56,S,1,male,,0,0,35.5,1
57,S,2,female,21,0,0,10.5,1
58,C,3,male,28.5,0,0,7.2292,0
59,S,2,female,5,1,2,27.75,1
60,S,3,male,11,5,2,46.9,0
61,C,3,male,22,0,0,7.2292,0
62,,1,female,38,0,0,80,1
63,S,1,male,45,1,0,83.475,0
64,S,3,male,4,3,2,27.9,0
65,C,1,male,,0,0,27.7208,0
66,C,3,male,,1,1,15.2458,1
67,S,2,female,29,0,0,10.5,1
68,S,3,male,19,0,0,8.1583,0
69,S,3,female,17,4,2,7.925,1
70,S,3,male,26,2,0,8.6625,0
71,S,2,male,32,0,0,10.5,0
72,S,3,female,16,5,2,46.9,0
73,S,2,male,21,0,0,73.5,0
74,C,3,male,26,1,0,14.4542,0
75,S,3,male,32,0,0,56.4958,1
76,S,3,male,25,0,0,7.65,0
77,S,3,male,,0,0,7.8958,0
78,S,3,male,,0,0,8.05,0
79,S,2,male,0.83,0,2,29,1
80,S,3,female,30,0,0,12.475,1
81,S,3,male,22,0,0,9,0
82,S,3,male,29,0,0,9.5,1
83,Q,3,female,,0,0,7.7875,1
84,S,1,male,28,0,0,47.1,0
85,S,2,female,17,0,0,10.5,1
86,S,3,female,33,3,0,15.85,1
87,S,3,male,16,1,3,34.375,0
88,S,3,male,,0,0,8.05,0
89,S,1,female,23,3,2,263,1
90,S,3,male,24,0,0,8.05,0
91,S,3,male,29,0,0,8.05,0
92,S,3,male,20,0,0,7.8542,0
93,S,1,male,46,1,0,61.175,0
94,S,3,male,26,1,2,20.575,0
95,S,3,male,59,0,0,7.25,0
96,S,3,male,,0,0,8.05,0
97,C,1,male,71,0,0,34.6542,0
98,C,1,male,23,0,1,63.3583,1
99,S,2,female,34,0,1,23,1
100,S,2,male,34,1,0,26,0
101,S,3,female,28,0,0,7.8958,0
102,S,3,male,,0,0,7.8958,0
103,S,1,male,21,0,1,77.2875,0
104,S,3,male,33,0,0,8.6542,0
105,S,3,male,37,2,0,7.925,0
106,S,3,male,28,0,0,7.8958,0
107,S,3,female,21,0,0,7.65,1
108,S,3,male,,0,0,7.775,1
109,S,3,male,38,0,0,7.8958,0
110,Q,3,female,,1,0,24.15,1
111,S,1,male,47,0,0,52,0
112,C,3,female,14.5,1,0,14.4542,0
113,S,3,male,22,0,0,8.05,0
114,S,3,female,20,1,0,9.825,0
115,C,3,female,17,0,0,14.4583,0
116,S,3,male,21,0,0,7.925,0
117,Q,3,male,70.5,0,0,7.75,0
118,S,2,male,29,1,0,21,0
119,C,1,male,24,0,1,247.5208,0
120,S,3,female,2,4,2,31.275,0
121,S,2,male,21,2,0,73.5,0
122,S,3,male,,0,0,8.05,0
123,C,2,male,32.5,1,0,30.0708,0
124,S,2,female,32.5,0,0,13,1
125,S,1,male,54,0,1,77.2875,0
126,C,3,male,12,1,0,11.2417,1
127,Q,3,male,,0,0,7.75,0
128,S,3,male,24,0,0,7.1417,1
129,C,3,female,,1,1,22.3583,1
130,S,3,male,45,0,0,6.975,0
131,C,3,male,33,0,0,7.8958,0
132,S,3,male,20,0,0,7.05,0
133,S,3,female,47,1,0,14.5,0
134,S,2,female,29,1,0,26,1
135,S,2,male,25,0,0,13,0
136,C,2,male,23,0,0,15.0458,0
137,S,1,female,19,0,2,26.2833,1
138,S,1,male,37,1,0,53.1,0
139,S,3,male,16,0,0,9.2167,0
140,C,1,male,24,0,0,79.2,0
141,C,3,female,,0,2,15.2458,0
142,S,3,female,22,0,0,7.75,1
143,S,3,female,24,1,0,15.85,1
144,Q,3,male,19,0,0,6.75,0
145,S,2,male,18,0,0,11.5,0
146,S,2,male,19,1,1,36.75,0
147,S,3,male,27,0,0,7.7958,1
148,S,3,female,9,2,2,34.375,0
149,S,2,male,36.5,0,2,26,0
150,S,2,male,42,0,0,13,0
151,S,2,male,51,0,0,12.525,0
152,S,1,female,22,1,0,66.6,1
153,S,3,male,55.5,0,0,8.05,0
154,S,3,male,40.5,0,2,14.5,0
155,S,3,male,,0,0,7.3125,0
156,C,1,male,51,0,1,61.3792,0
157,Q,3,female,16,0,0,7.7333,1
158,S,3,male,30,0,0,8.05,0
159,S,3,male,,0,0,8.6625,0
160,S,3,male,,8,2,69.55,0
161,S,3,male,44,0,1,16.1,0
162,S,2,female,40,0,0,15.75,1
163,S,3,male,26,0,0,7.775,0
164,S,3,male,17,0,0,8.6625,0
165,S,3,male,1,4,1,39.6875,0
166,S,3,male,9,0,2,20.525,1
167,S,1,female,,0,1,55,1
168,S,3,female,45,1,4,27.9,0
169,S,1,male,,0,0,25.925,0
170,S,3,male,28,0,0,56.4958,0
171,S,1,male,61,0,0,33.5,0
172,Q,3,male,4,4,1,29.125,0
173,S,3,female,1,1,1,11.1333,1
174,S,3,male,21,0,0,7.925,0
175,C,1,male,56,0,0,30.6958,0
176,S,3,male,18,1,1,7.8542,0
177,S,3,male,,3,1,25.4667,0
178,C,1,female,50,0,0,28.7125,0
179,S,2,male,30,0,0,13,0
180,S,3,male,36,0,0,0,0
181,S,3,female,,8,2,69.55,0
182,C,2,male,,0,0,15.05,0
183,S,3,male,9,4,2,31.3875,0
184,S,2,male,1,2,1,39,1
185,S,3,female,4,0,2,22.025,1
186,S,1,male,,0,0,50,0
187,Q,3,female,,1,0,15.5,1
188,S,1,male,45,0,0,26.55,1
189,Q,3,male,40,1,1,15.5,0
190,S,3,male,36,0,0,7.8958,0
191,S,2,female,32,0,0,13,1
192,S,2,male,19,0,0,13,0
193,S,3,female,19,1,0,7.8542,1
194,S,2,male,3,1,1,26,1
195,C,1,female,44,0,0,27.7208,1
196,C,1,female,58,0,0,146.5208,1
197,Q,3,male,,0,0,7.75,0
198,S,3,male,42,0,1,8.4042,0
199,Q,3,female,,0,0,7.75,1
200,S,2,female,24,0,0,13,0
201,S,3,male,28,0,0,9.5,0
202,S,3,male,,8,2,69.55,0
203,S,3,male,34,0,0,6.4958,0
204,C,3,male,45.5,0,0,7.225,0
205,S,3,male,18,0,0,8.05,1
206,S,3,female,2,0,1,10.4625,0
207,S,3,male,32,1,0,15.85,0
208,C,3,male,26,0,0,18.7875,1
209,Q,3,female,16,0,0,7.75,1
210,C,1,male,40,0,0,31,1
211,S,3,male,24,0,0,7.05,0
212,S,2,female,35,0,0,21,1
213,S,3,male,22,0,0,7.25,0
214,S,2,male,30,0,0,13,0
215,Q,3,male,,1,0,7.75,0
216,C,1,female,31,1,0,113.275,1
217,S,3,female,27,0,0,7.925,1
218,S,2,male,42,1,0,27,0
219,C,1,female,32,0,0,76.2917,1
220,S,2,male,30,0,0,10.5,0
221,S,3,male,16,0,0,8.05,1
222,S,2,male,27,0,0,13,0
223,S,3,male,51,0,0,8.05,0
224,S,3,male,,0,0,7.8958,0
225,S,1,male,38,1,0,90,1
226,S,3,male,22,0,0,9.35,0
227,S,2,male,19,0,0,10.5,1
228,S,3,male,20.5,0,0,7.25,0
229,S,2,male,18,0,0,13,0
230,S,3,female,,3,1,25.4667,0
231,S,1,female,35,1,0,83.475,1
232,S,3,male,29,0,0,7.775,0
233,S,2,male,59,0,0,13.5,0
234,S,3,female,5,4,2,31.3875,1
235,S,2,male,24,0,0,10.5,0
236,S,3,female,,0,0,7.55,0
237,S,2,male,44,1,0,26,0
238,S,2,female,8,0,2,26.25,1
239,S,2,male,19,0,0,10.5,0
240,S,2,male,33,0,0,12.275,0
241,C,3,female,,1,0,14.4542,0
242,Q,3,female,,1,0,15.5,1
243,S,2,male,29,0,0,10.5,0
244,S,3,male,22,0,0,7.125,0
245,C,3,male,30,0,0,7.225,0
246,Q,1,male,44,2,0,90,0
247,S,3,female,25,0,0,7.775,0
248,S,2,female,24,0,2,14.5,1
249,S,1,male,37,1,1,52.5542,1
250,S,2,male,54,1,0,26,0
251,S,3,male,,0,0,7.25,0
252,S,3,female,29,1,1,10.4625,0
253,S,1,male,62,0,0,26.55,0
254,S,3,male,30,1,0,16.1,0
255,S,3,female,41,0,2,20.2125,0
256,C,3,female,29,0,2,15.2458,1
257,C,1,female,,0,0,79.2,1
258,S,1,female,30,0,0,86.5,1
259,C,1,female,35,0,0,512.3292,1
260,S,2,female,50,0,1,26,1
261,Q,3,male,,0,0,7.75,0
262,S,3,male,3,4,2,31.3875,1
263,S,1,male,52,1,1,79.65,0
264,S,1,male,40,0,0,0,0
265,Q,3,female,,0,0,7.75,0
266,S,2,male,36,0,0,10.5,0
267,S,3,male,16,4,1,39.6875,0
268,S,3,male,25,1,0,7.775,1
269,S,1,female,58,0,1,153.4625,1
270,S,1,female,35,0,0,135.6333,1
271,S,1,male,,0,0,31,0
272,S,3,male,25,0,0,0,1
273,S,2,female,41,0,1,19.5,1
274,C,1,male,37,0,1,29.7,0
275,Q,3,female,,0,0,7.75,1
276,S,1,female,63,1,0,77.9583,1
277,S,3,female,45,0,0,7.75,0
278,S,2,male,,0,0,0,0
279,Q,3,male,7,4,1,29.125,0
280,S,3,female,35,1,1,20.25,1
281,Q,3,male,65,0,0,7.75,0
282,S,3,male,28,0,0,7.8542,0
283,S,3,male,16,0,0,9.5,0
284,S,3,male,19,0,0,8.05,1
285,S,1,male,,0,0,26,0
286,C,3,male,33,0,0,8.6625,0
287,S,3,male,30,0,0,9.5,1
288,S,3,male,22,0,0,7.8958,0
289,S,2,male,42,0,0,13,1
290,Q,3,female,22,0,0,7.75,1
291,S,1,female,26,0,0,78.85,1
292,C,1,female,19,1,0,91.0792,1
293,C,2,male,36,0,0,12.875,0
294,S,3,female,24,0,0,8.85,0
295,S,3,male,24,0,0,7.8958,0
296,C,1,male,,0,0,27.7208,0
297,C,3,male,23.5,0,0,7.2292,0
298,S,1,female,2,1,2,151.55,0
299,S,1,male,,0,0,30.5,1
300,C,1,female,50,0,1,247.5208,1
301,Q,3,female,,0,0,7.75,1
302,Q,3,male,,2,0,23.25,1
303,S,3,male,19,0,0,0,0
304,Q,2,female,,0,0,12.35,1
305,S,3,male,,0,0,8.05,0
306,S,1,male,0.92,1,2,151.55,1
307,C,1,female,,0,0,110.8833,1
308,C,1,female,17,1,0,108.9,1
309,C,2,male,30,1,0,24,0
310,C,1,female,30,0,0,56.9292,1
311,C,1,female,24,0,0,83.1583,1
312,C,1,female,18,2,2,262.375,1
313,S,2,female,26,1,1,26,0
314,S,3,male,28,0,0,7.8958,0
315,S,2,male,43,1,1,26.25,0
316,S,3,female,26,0,0,7.8542,1
317,S,2,female,24,1,0,26,1
318,S,2,male,54,0,0,14,0
319,S,1,female,31,0,2,164.8667,1
320,C,1,female,40,1,1,134.5,1
321,S,3,male,22,0,0,7.25,0
322,S,3,male,27,0,0,7.8958,0
323,Q,2,female,30,0,0,12.35,1
324,S,2,female,22,1,1,29,1
325,S,3,male,,8,2,69.55,0
326,C,1,female,36,0,0,135.6333,1
327,S,3,male,61,0,0,6.2375,0
328,S,2,female,36,0,0,13,1
329,S,3,female,31,1,1,20.525,1
330,C,1,female,16,0,1,57.9792,1
331,Q,3,female,,2,0,23.25,1
332,S,1,male,45.5,0,0,28.5,0
333,S,1,male,38,0,1,153.4625,0
334,S,3,male,16,2,0,18,0
335,S,1,female,,1,0,133.65,1
336,S,3,male,,0,0,7.8958,0
337,S,1,male,29,1,0,66.6,0
338,C,1,female,41,0,0,134.5,1
339,S,3,male,45,0,0,8.05,1
340,S,1,male,45,0,0,35.5,0
341,S,2,male,2,1,1,26,1
342,S,1,female,24,3,2,263,1
343,S,2,male,28,0,0,13,0
344,S,2,male,25,0,0,13,0
345,S,2,male,36,0,0,13,0
346,S,2,female,24,0,0,13,1
347,S,2,female,40,0,0,13,1
348,S,3,female,,1,0,16.1,1
349,S,3,male,3,1,1,15.9,1
350,S,3,male,42,0,0,8.6625,0
351,S,3,male,23,0,0,9.225,0
352,S,1,male,,0,0,35,0
353,C,3,male,15,1,1,7.2292,0
354,S,3,male,25,1,0,17.8,0
355,C,3,male,,0,0,7.225,0
356,S,3,male,28,0,0,9.5,0
357,S,1,female,22,0,1,55,1
358,S,2,female,38,0,0,13,0
359,Q,3,female,,0,0,7.8792,1
360,Q,3,female,,0,0,7.8792,1
361,S,3,male,40,1,4,27.9,0
362,C,2,male,29,1,0,27.7208,0
363,C,3,female,45,0,1,14.4542,0
364,S,3,male,35,0,0,7.05,0
365,Q,3,male,,1,0,15.5,0
366,S,3,male,30,0,0,7.25,0
367,C,1,female,60,1,0,75.25,1
368,C,3,female,,0,0,7.2292,1
369,Q,3,female,,0,0,7.75,1
370,C,1,female,24,0,0,69.3,1
371,C,1,male,25,1,0,55.4417,1
372,S,3,male,18,1,0,6.4958,0
373,S,3,male,19,0,0,8.05,0
374,C,1,male,22,0,0,135.6333,0
375,S,3,female,3,3,1,21.075,0
376,C,1,female,,1,0,82.1708,1
377,S,3,female,22,0,0,7.25,1
378,C,1,male,27,0,2,211.5,0
379,C,3,male,20,0,0,4.0125,0
380,S,3,male,19,0,0,7.775,0
381,C,1,female,42,0,0,227.525,1
382,C,3,female,1,0,2,15.7417,1
383,S,3,male,32,0,0,7.925,0
384,S,1,female,35,1,0,52,1
385,S,3,male,,0,0,7.8958,0
386,S,2,male,18,0,0,73.5,0
387,S,3,male,1,5,2,46.9,0
388,S,2,female,36,0,0,13,1
389,Q,3,male,,0,0,7.7292,0
390,C,2,female,17,0,0,12,1
391,S,1,male,36,1,2,120,1
392,S,3,male,21,0,0,7.7958,1
393,S,3,male,28,2,0,7.925,0
394,C,1,female,23,1,0,113.275,1
395,S,3,female,24,0,2,16.7,1
396,S,3,male,22,0,0,7.7958,0
397,S,3,female,31,0,0,7.8542,0
398,S,2,male,46,0,0,26,0
399,S,2,male,23,0,0,10.5,0
400,S,2,female,28,0,0,12.65,1
401,S,3,male,39,0,0,7.925,1
402,S,3,male,26,0,0,8.05,0
403,S,3,female,21,1,0,9.825,0
404,S,3,male,28,1,0,15.85,0
405,S,3,female,20,0,0,8.6625,0
406,S,2,male,34,1,0,21,0
407,S,3,male,51,0,0,7.75,0
408,S,2,male,3,1,1,18.75,1
409,S,3,male,21,0,0,7.775,0
410,S,3,female,,3,1,25.4667,0
411,S,3,male,,0,0,7.8958,0
412,Q,3,male,,0,0,6.8583,0
413,Q,1,female,33,1,0,90,1
414,S,2,male,,0,0,0,0
415,S,3,male,44,0,0,7.925,1
416,S,3,female,,0,0,8.05,0
417,S,2,female,34,1,1,32.5,1
418,S,2,female,18,0,2,13,1
419,S,2,male,30,0,0,13,0
420,S,3,female,10,0,2,24.15,0
421,C,3,male,,0,0,7.8958,0
422,Q,3,male,21,0,0,7.7333,0
423,S,3,male,29,0,0,7.875,0
424,S,3,female,28,1,1,14.4,0
425,S,3,male,18,1,1,20.2125,0
426,S,3,male,,0,0,7.25,0
427,S,2,female,28,1,0,26,1
428,S,2,female,19,0,0,26,1
429,Q,3,male,,0,0,7.75,0
430,S,3,male,32,0,0,8.05,1
431,S,1,male,28,0,0,26.55,1
432,S,3,female,,1,0,16.1,1
433,S,2,female,42,1,0,26,1
434,S,3,male,17,0,0,7.125,0
435,S,1,male,50,1,0,55.9,0
436,S,1,female,14,1,2,120,1
437,S,3,female,21,2,2,34.375,0
438,S,2,female,24,2,3,18.75,1
439,S,1,male,64,1,4,263,0
440,S,2,male,31,0,0,10.5,0
441,S,2,female,45,1,1,26.25,1
442,S,3,male,20,0,0,9.5,0
443,S,3,male,25,1,0,7.775,0
444,S,2,female,28,0,0,13,1
445,S,3,male,,0,0,8.1125,1
